water_depth_mm,forecast_precip_mm,Q_action0,Q_action1,Q_action2
102.85714285714286,342.8571428571429,2.044961452484131,2.1135413646698,2.0609288215637207
102.85714285714286,391.8367346938776,1.9031672477722168,1.9696221351623535,1.9177926778793335
102.85714285714286,440.81632653061223,1.7700583934783936,1.8367600440979004,1.7854896783828735
107.75510204081633,0.0,1.96013343334198,1.9968359470367432,1.9416884183883667
107.75510204081633,48.9795918367347,2.070984363555908,2.0564451217651367,2.00923752784729
107.75510204081633,97.9591836734694,2.171623945236206,2.1153340339660645,2.0729126930236816
107.75510204081633,146.9387755102041,2.2691471576690674,2.220482349395752,2.1741461753845215
107.75510204081633,195.9183673469388,2.279193878173828,2.2777531147003174,2.2281644344329834
107.75510204081633,244.89795918367346,2.2513058185577393,2.3091042041778564,2.2567946910858154
107.75510204081633,293.8775510204082,2.1202287673950195,2.181675910949707,2.129819631576538
107.75510204081633,342.8571428571429,1.9784352779388428,2.0377581119537354,1.9866846799850464
107.75510204081633,391.8367346938776,1.8366413116455078,1.8938398361206055,1.8435496091842651
107.75510204081633,440.81632653061223,1.6981539726257324,1.7541307210922241,1.7045382261276245
112.6530612244898,0.0,1.9307562112808228,1.949763536453247,1.8958619832992554
112.6530612244898,48.9795918367347,2.041607141494751,2.0093724727630615,1.9634109735488892
112.6530612244898,97.9591836734694,2.1399686336517334,2.068100690841675,2.026221990585327
112.6530612244898,146.9387755102041,2.2286429405212402,2.1522889137268066,2.1073265075683594
112.6530612244898,195.9183673469388,2.2007548809051514,2.1836400032043457,2.1359565258026123
112.6530612244898,244.89795918367346,2.1728668212890625,2.214991331100464,2.1645870208740234
112.6530612244898,293.8775510204082,2.053701877593994,2.1058924198150635,2.055575132369995
112.6530612244898,342.8571428571429,1.9119088649749756,1.961975336074829,1.9124406576156616
112.6530612244898,391.8367346938776,1.7701150178909302,1.8180568218231201,1.7693055868148804
112.6530612244898,440.81632653061223,1.628321886062622,1.6741396188735962,1.6261714696884155
117.55102040816327,0.0,1.901379108428955,1.902691125869751,1.850035548210144
117.55102040816327,48.9795918367347,2.012230157852173,1.9623005390167236,1.917584776878357
117.55102040816327,97.9591836734694,2.1083133220672607,2.0208675861358643,1.979531168937683
117.55102040816327,146.9387755102041,2.1502039432525635,2.058175563812256,2.0151188373565674
117.55102040816327,195.9183673469388,2.1223158836364746,2.089526414871216,2.043748617172241
117.55102040816327,244.89795918367346,2.0944275856018066,2.120877504348755,2.0723788738250732
117.55102040816327,293.8775510204082,1.9871764183044434,2.0301105976104736,1.9813321828842163
117.55102040816327,342.8571428571429,1.8453826904296875,1.8861923217773438,1.838197112083435
117.55102040816327,391.8367346938776,1.7035884857177734,1.7422738075256348,1.6950615644454956
117.55102040816327,440.81632653061223,1.5617953538894653,1.5983562469482422,1.551927089691162
122.44897959183673,0.0,1.8548939228057861,1.8439288139343262,1.7927592992782593
122.44897959183673,48.9795918367347,1.9828529357910156,1.9152276515960693,1.8717583417892456
122.44897959183673,97.9591836734694,2.076657772064209,1.9736342430114746,1.9328402280807495
122.44897959183673,146.9387755102041,2.071859836578369,1.9739303588867188,1.932313084602356
122.44897959183673,195.9183673469388,2.0438764095306396,1.9954123497009277,1.9515403509140015
122.44897959183673,244.89795918367346,2.0159881114959717,2.026763916015625,1.9801706075668335
122.44897959183673,293.8775510204082,1.920649766921997,1.95432710647583,1.9070879220962524
122.44897959183673,342.8571428571429,1.7788560390472412,1.8104093074798584,1.7639530897140503
122.44897959183673,391.8367346938776,1.6370623111724854,1.6664910316467285,1.62081778049469
122.44897959183673,440.81632653061223,1.4952690601348877,1.5225735902786255,1.477683424949646
127.34693877551021,0.0,1.7911510467529297,1.7733750343322754,1.723933219909668
127.34693877551021,48.9795918367347,1.9534757137298584,1.8681550025939941,1.8259316682815552
127.34693877551021,97.9591836734694,2.021908760070801,1.9106216430664062,1.8706938028335571
127.34693877551021,146.9387755102041,1.9935657978057861,1.8948304653167725,1.854408860206604
127.34693877551021,195.9183673469388,1.965437650680542,1.901299238204956,1.8593326807022095
127.34693877551021,244.89795918367346,1.937549114227295,1.9326503276824951,1.8879624605178833
127.34693877551021,293.8775510204082,1.854123592376709,1.8785443305969238,1.8328441381454468
127.34693877551021,342.8571428571429,1.7123298645019531,1.734626293182373,1.689709186553955
127.34693877551021,391.8367346938776,1.5705360174179077,1.5907080173492432,1.5465738773345947
127.34693877551021,440.81632653061223,1.428742527961731,1.4467902183532715,1.4034391641616821
132.24489795918367,0.0,1.7274075746536255,1.702820897102356,1.6551066637039185
132.24489795918367,48.9795918367347,1.9045003652572632,1.8076915740966797,1.7669888734817505
132.24489795918367,97.9591836734694,1.9436149597167969,1.8315215110778809,1.7927895784378052
132.24489795918367,146.9387755102041,1.9152711629867554,1.8157293796539307,1.776504397392273
132.24489795918367,195.9183673469388,1.886998176574707,1.8071855306625366,1.7671242952346802
132.24489795918367,244.89795918367346,1.85910964012146,1.8385365009307861,1.795754313468933
132.24489795918367,293.8775510204082,1.7875972986221313,1.8027617931365967,1.7586003541946411
132.24489795918367,342.8571428571429,1.645803451538086,1.6588433980941772,1.6154652833938599
132.24489795918367,391.8367346938776,1.5040090084075928,1.5149245262145996,1.4723294973373413
132.24489795918367,440.81632653061223,1.3622162342071533,1.3710076808929443,1.3291956186294556
137.14285714285714,0.0,1.6636648178100586,1.632266879081726,1.5862807035446167
137.14285714285714,48.9795918367347,1.8407577276229858,1.737138271331787,1.6981630325317383
137.14285714285714,97.9591836734694,1.8653204441070557,1.7524207830429077,1.714884877204895
137.14285714285714,146.9387755102041,1.8369770050048828,1.7366288900375366,1.6985995769500732
137.14285714285714,195.9183673469388,1.808633804321289,1.7208372354507446,1.6823146343231201
137.14285714285714,244.89795918367346,1.7806706428527832,1.744423270225525,1.703546404838562
137.14285714285714,293.8775510204082,1.7210711240768433,1.7269788980484009,1.6843568086624146
137.14285714285714,342.8571428571429,1.5792771577835083,1.583060622215271,1.5412214994430542
137.14285714285714,391.8367346938776,1.437483310699463,1.4391422271728516,1.3980861902236938
137.14285714285714,440.81632653061223,1.2956898212432861,1.295224905014038,1.2549519538879395
142.0408163265306,0.0,1.5999213457107544,1.561712622642517,1.5174540281295776
142.0408163265306,48.9795918367347,1.7770143747329712,1.666583776473999,1.6293363571166992
142.0408163265306,97.9591836734694,1.7870261669158936,1.6733204126358032,1.6369805335998535
142.0408163265306,146.9387755102041,1.7586827278137207,1.6575281620025635,1.6206951141357422
142.0408163265306,195.9183673469388,1.730339765548706,1.6417367458343506,1.6044102907180786
142.0408163265306,244.89795918367346,1.7022311687469482,1.6503093242645264,1.6113382577896118
142.0408163265306,293.8775510204082,1.6545443534851074,1.6511955261230469,1.6101123094558716
