episode,epsilon
207,0.35253382661792404
208,0.3507711574848344
209,0.34901730169741024
210,0.3472722151889232
211,0.3455358541129786
212,0.3438081748424137
213,0.3420891339682016
214,0.3403786882983606
215,0.3386767948568688
216,0.33698341088258443
217,0.3352984938281715
218,0.33362200135903064
219,0.33195389135223546
220,0.3302941218954743
221,0.32864265128599696
222,0.326999438029567
223,0.3253644408394192
224,0.3237376186352221
225,0.322118930542046
226,0.32050833588933575
227,0.31890579420988907
228,0.3173112652388396
229,0.3157247089126454
230,0.3141460853680822
231,0.3125753549412418
232,0.31101247816653554
233,0.30945741577570285
234,0.3079101286968243
235,0.3063705780533402
236,0.30483872516307353
237,0.3033145315372582
238,0.3017979588795719
239,0.30028896908517405
240,0.2987875242397482
241,0.29729358661854943
242,0.29580711868545667
243,0.2943280830920294
244,0.29285644267656924
245,0.2913921604631864
246,0.28993519966087045
247,0.2884855236625661
248,0.28704309604425327
249,0.285607880564032
250,0.28417984116121187
251,0.2827589419554058
252,0.28134514724562876
253,0.2799384215094006
254,0.27853872940185365
255,0.27714603575484437
256,0.2757603055760701
257,0.2743815040481898
258,0.2730095965279488
259,0.27164454854530906
260,0.2702863258025825
261,0.2689348941735696
262,0.26759021970270175
263,0.2662522686041882
264,0.2649210072611673
265,0.26359640222486147
266,0.26227842021373715
267,0.2609670281126685
268,0.25966219297210513
269,0.2583638820072446
270,0.2570720625972084
271,0.25578670228422234
272,0.25450776877280124
273,0.2532352299289372
274,0.2519690537792925
275,0.2507092085103961
276,0.2494556624678441
277,0.24820838415550486
278,0.24696734223472733
279,0.2457325055235537
280,0.24450384299593592
281,0.24328132378095624
282,0.24206491716205145
283,0.2408545925762412
284,0.23965031961336
285,0.2384520680152932
286,0.23725980767521673
287,0.23607350863684065
288,0.23489314109365644
289,0.23371867538818816
290,0.23255008201124722
291,0.231387331601191
292,0.23023039494318503
293,0.2290792429684691
294,0.22793384675362674
295,0.22679417751985861
296,0.22566020663225933
297,0.22453190559909803
298,0.22340924607110255
299,0.22229219984074702
