class,fpr,tpr
moderate_stress,0.20958083832335328,0.8862559241706162
moderate_stress,0.2155688622754491,0.8862559241706162
moderate_stress,0.2155688622754491,0.8909952606635071
moderate_stress,0.2215568862275449,0.8909952606635071
moderate_stress,0.2215568862275449,0.8957345971563981
moderate_stress,0.2215568862275449,0.9052132701421801
moderate_stress,0.2275449101796407,0.9052132701421801
moderate_stress,0.2275449101796407,0.909952606635071
moderate_stress,0.23353293413173654,0.909952606635071
moderate_stress,0.23353293413173654,0.9146919431279621
moderate_stress,0.24550898203592814,0.9146919431279621
moderate_stress,0.24550898203592814,0.919431279620853
moderate_stress,0.25748502994011974,0.919431279620853
moderate_stress,0.25748502994011974,0.933649289099526
moderate_stress,0.2754491017964072,0.933649289099526
moderate_stress,0.2754491017964072,0.9383886255924171
moderate_stress,0.2934131736526946,0.9383886255924171
moderate_stress,0.2934131736526946,0.943127962085308
moderate_stress,0.2994011976047904,0.943127962085308
moderate_stress,0.2994011976047904,0.9478672985781991
moderate_stress,0.32335329341317365,0.9478672985781991
moderate_stress,0.32335329341317365,0.95260663507109
moderate_stress,0.3772455089820359,0.95260663507109
moderate_stress,0.3772455089820359,0.957345971563981
moderate_stress,0.4550898203592814,0.957345971563981
moderate_stress,0.4550898203592814,0.9620853080568721
moderate_stress,0.46107784431137727,0.9620853080568721
moderate_stress,0.46107784431137727,0.966824644549763
moderate_stress,0.46706586826347307,0.966824644549763
moderate_stress,0.46706586826347307,0.9715639810426541
moderate_stress,0.5269461077844312,0.9715639810426541
moderate_stress,0.5269461077844312,0.976303317535545
moderate_stress,0.5508982035928144,0.976303317535545
moderate_stress,0.5508982035928144,0.981042654028436
moderate_stress,0.6646706586826348,0.981042654028436
moderate_stress,0.6646706586826348,0.985781990521327
moderate_stress,0.7425149700598802,0.985781990521327
moderate_stress,0.7425149700598802,0.990521327014218
moderate_stress,0.8383233532934131,0.990521327014218
moderate_stress,0.8383233532934131,0.995260663507109
moderate_stress,0.8862275449101796,0.995260663507109
moderate_stress,0.8862275449101796,1.0
moderate_stress,1.0,1.0
severe_stress,0.0,0.0
severe_stress,0.0,0.0125
severe_stress,0.0,0.15
severe_stress,0.003355704697986577,0.15
severe_stress,0.003355704697986577,0.2125
severe_stress,0.006711409395973154,0.2125
severe_stress,0.006711409395973154,0.3375
severe_stress,0.010067114093959731,0.3375
severe_stress,0.010067114093959731,0.4125
severe_stress,0.013422818791946308,0.4125
severe_stress,0.013422818791946308,0.525
severe_stress,0.020134228187919462,0.525
severe_stress,0.020134228187919462,0.5875
severe_stress,0.026845637583892617,0.5875
severe_stress,0.026845637583892617,0.6125
severe_stress,0.030201342281879196,0.6125
severe_stress,0.030201342281879196,0.6375
severe_stress,0.03355704697986577,0.6375
severe_stress,0.03355704697986577,0.725
severe_stress,0.03691275167785235,0.725
severe_stress,0.03691275167785235,0.7625
severe_stress,0.040268456375838924,0.7625
severe_stress,0.040268456375838924,0.775
severe_stress,0.050335570469798654,0.775
severe_stress,0.050335570469798654,0.7875
severe_stress,0.06375838926174497,0.7875
severe_stress,0.06375838926174497,0.8
severe_stress,0.08389261744966443,0.8
severe_stress,0.08389261744966443,0.8375
severe_stress,0.09060402684563758,0.8375
severe_stress,0.09060402684563758,0.85
severe_stress,0.13758389261744966,0.85
severe_stress,0.13758389261744966,0.8625
severe_stress,0.15436241610738255,0.8625
severe_stress,0.15436241610738255,0.875
severe_stress,0.1610738255033557,0.875
severe_stress,0.1610738255033557,0.8875
severe_stress,0.18120805369127516,0.8875
severe_stress,0.18120805369127516,0.9
severe_stress,0.22483221476510068,0.9
severe_stress,0.22483221476510068,0.9125
severe_stress,0.23154362416107382,0.9125
severe_stress,0.23154362416107382,0.925
severe_stress,0.24496644295302014,0.925
severe_stress,0.24496644295302014,0.9375
severe_stress,0.2751677852348993,0.9375
severe_stress,0.2751677852348993,0.95
severe_stress,0.30201342281879195,0.95
severe_stress,0.30201342281879195,0.9625
severe_stress,0.37583892617449666,0.9625
severe_stress,0.37583892617449666,0.975
severe_stress,0.47651006711409394,0.975
severe_stress,0.48322147651006714,0.975
severe_stress,0.5436241610738255,0.975
severe_stress,0.5436241610738255,0.9875
severe_stress,0.5604026845637584,0.9875
severe_stress,0.5704697986577181,0.9875
severe_stress,0.6543624161073825,0.9875
severe_stress,0.6543624161073825,1.0
severe_stress,0.7248322147651006,1.0
severe_stress,0.7315436241610739,1.0
severe_stress,0.8456375838926175,1.0
severe_stress,0.8523489932885906,1.0
severe_stress,1.0,1.0
