episode,r0_mean,r1_mean,r2_mean,r3_mean
132,1.0,0.7376889014134165,1.0,1.0
133,1.0,0.748367685488077,1.0,1.0
134,1.0,0.7103936352516917,1.0,1.0
135,1.0,0.7034436952274097,1.0,1.0
136,1.0,0.7067781402467848,1.0,1.0
137,1.0,0.7116558259236849,1.0,1.0
138,1.0,0.7257213825428768,1.0,1.0
139,1.0,0.7265776972204371,1.0,1.0
140,1.0,0.7295448881896185,1.0,1.0
141,1.0,0.6945729797167,1.0,1.0
142,1.0,0.7328022001384328,1.0,1.0
143,1.0,0.6845728529858789,1.0,1.0
144,1.0,0.7293471499506563,1.0,1.0
145,1.0,0.6920128670218408,1.0,1.0
146,1.0,0.7211569261512514,1.0,1.0
147,1.0,0.7128001110389198,1.0,1.0
148,1.0,0.715864729932328,1.0,1.0
149,1.0,0.6639290223478438,1.0,1.0
150,1.0,0.7010932820741332,1.0,1.0
151,1.0,0.670637237839745,1.0,1.0
152,1.0,0.7232686866805293,1.0,1.0
153,1.0,0.732286093134254,1.0,1.0
154,1.0,0.7232051627639633,1.0,1.0
155,1.0,0.7215790157237059,1.0,1.0
156,1.0,0.6893354048109854,1.0,1.0
157,1.0,0.7240905774471693,1.0,1.0
158,1.0,0.6881363888765919,1.0,1.0
159,1.0,0.7461017602513468,1.0,1.0
160,1.0,0.7109784423979064,1.0,1.0
161,1.0,0.7207245570201344,1.0,1.0
162,1.0,0.7386387807560189,1.0,1.0
163,1.0,0.7260698234573555,1.0,1.0
164,1.0,0.723238050567363,1.0,1.0
165,1.0,0.7242914089968199,1.0,1.0
166,1.0,0.6760092849688394,1.0,1.0
167,1.0,0.7851737877161229,1.0,1.0
168,1.0,0.7080568646371306,1.0,1.0
169,1.0,0.7297601871521092,1.0,1.0
170,1.0,0.7290849842989753,1.0,1.0
171,1.0,0.6954630759126321,1.0,1.0
172,1.0,0.7270929439105366,1.0,1.0
173,1.0,0.7334101614853152,1.0,1.0
174,1.0,0.743757194211407,1.0,1.0
175,1.0,0.712747878381432,1.0,1.0
176,1.0,0.7136156288640498,1.0,1.0
177,1.0,0.6697796454362334,1.0,1.0
178,1.0,0.7265024871812298,1.0,1.0
179,1.0,0.7007256978335995,1.0,1.0
180,1.0,0.7262793804148059,1.0,1.0
181,1.0,0.7344417670195931,1.0,1.0
182,1.0,0.7393032262836783,1.0,1.0
183,1.0,0.7092378857565208,1.0,1.0
184,1.0,0.6791904712482992,1.0,1.0
185,1.0,0.729917286711089,1.0,1.0
186,1.0,0.7234806130879254,1.0,1.0
187,1.0,0.7044922295806927,1.0,1.0
188,1.0,0.7144180576308352,1.0,1.0
189,1.0,0.6725630149904166,1.0,1.0
190,1.0,0.7291698353481607,1.0,1.0
191,1.0,0.7207831141456876,1.0,1.0
192,1.0,0.7001873997836041,1.0,1.0
193,1.0,0.7242895008069531,1.0,1.0
194,1.0,0.7387264036054286,1.0,1.0
